,,Uranus,,Neptune,,,,,
L,m,glm,hlm,glm,hlm,,,,
12,11,0,0,-12.44,-13.1,,,"gcoeff[(""Neptune"",""g"",12,11)]=-12.44","gcoeff[(""Neptune"",""g"",12,11)]=-13.1"
12,12,0,0,-2.86,14.8,,,"gcoeff[(""Neptune"",""g"",12,12)]=-2.86","gcoeff[(""Neptune"",""g"",12,12)]=14.8"
13,0,0,,-10.21,,,,"gcoeff[(""Neptune"",""g"",13,0)]=-10.21",
13,1,0,0,-25.43,-9.78,,,"gcoeff[(""Neptune"",""g"",13,1)]=-25.43","gcoeff[(""Neptune"",""g"",13,1)]=-9.78"
13,2,0,0,29.25,-18.86,,,"gcoeff[(""Neptune"",""g"",13,2)]=29.25","gcoeff[(""Neptune"",""g"",13,2)]=-18.86"
13,3,0,0,-71.14,17.09,,,"gcoeff[(""Neptune"",""g"",13,3)]=-71.14","gcoeff[(""Neptune"",""g"",13,3)]=17.09"
13,4,0,0,1.95,-43.12,,,"gcoeff[(""Neptune"",""g"",13,4)]=1.95","gcoeff[(""Neptune"",""g"",13,4)]=-43.12"
13,5,0,0,-16.44,33.55,,,"gcoeff[(""Neptune"",""g"",13,5)]=-16.44","gcoeff[(""Neptune"",""g"",13,5)]=33.55"
13,6,0,0,14.55,-54.1,,,"gcoeff[(""Neptune"",""g"",13,6)]=14.55","gcoeff[(""Neptune"",""g"",13,6)]=-54.1"
13,7,0,0,-22.86,104.53,,,"gcoeff[(""Neptune"",""g"",13,7)]=-22.86","gcoeff[(""Neptune"",""g"",13,7)]=104.53"
13,8,0,0,5.7,-83.49,,,"gcoeff[(""Neptune"",""g"",13,8)]=5.7","gcoeff[(""Neptune"",""g"",13,8)]=-83.49"
13,9,0,0,-33.56,40.83,,,"gcoeff[(""Neptune"",""g"",13,9)]=-33.56","gcoeff[(""Neptune"",""g"",13,9)]=40.83"
13,10,0,0,15.88,-1.62,,,"gcoeff[(""Neptune"",""g"",13,10)]=15.88","gcoeff[(""Neptune"",""g"",13,10)]=-1.62"
13,11,0,0,7.3,-18.12,,,"gcoeff[(""Neptune"",""g"",13,11)]=7.3","gcoeff[(""Neptune"",""g"",13,11)]=-18.12"
13,12,0,0,-11.57,11.64,,,"gcoeff[(""Neptune"",""g"",13,12)]=-11.57","gcoeff[(""Neptune"",""g"",13,12)]=11.64"
13,13,0,0,5.02,0.83,,,"gcoeff[(""Neptune"",""g"",13,13)]=5.02","gcoeff[(""Neptune"",""g"",13,13)]=0.83"
14,0,0,,-46.55,,,,"gcoeff[(""Neptune"",""g"",14,0)]=-46.55",
14,1,0,0,-17.53,27.65,,,"gcoeff[(""Neptune"",""g"",14,1)]=-17.53","gcoeff[(""Neptune"",""g"",14,1)]=27.65"
14,2,0,0,-30.63,-6.29,,,"gcoeff[(""Neptune"",""g"",14,2)]=-30.63","gcoeff[(""Neptune"",""g"",14,2)]=-6.29"
14,3,0,0,-43.14,35.38,,,"gcoeff[(""Neptune"",""g"",14,3)]=-43.14","gcoeff[(""Neptune"",""g"",14,3)]=35.38"
14,4,0,0,-25.36,-25.36,,,"gcoeff[(""Neptune"",""g"",14,4)]=-25.36","gcoeff[(""Neptune"",""g"",14,4)]=-25.36"
14,5,0,0,3.48,44.31,,,"gcoeff[(""Neptune"",""g"",14,5)]=3.48","gcoeff[(""Neptune"",""g"",14,5)]=44.31"
14,6,0,0,-13,-39.87,,,"gcoeff[(""Neptune"",""g"",14,6)]=-13","gcoeff[(""Neptune"",""g"",14,6)]=-39.87"
14,7,0,0,-1.27,69.01,,,"gcoeff[(""Neptune"",""g"",14,7)]=-1.27","gcoeff[(""Neptune"",""g"",14,7)]=69.01"
14,8,0,0,-8,-45.04,,,"gcoeff[(""Neptune"",""g"",14,8)]=-8","gcoeff[(""Neptune"",""g"",14,8)]=-45.04"
14,9,0,0,-1.88,9.54,,,"gcoeff[(""Neptune"",""g"",14,9)]=-1.88","gcoeff[(""Neptune"",""g"",14,9)]=9.54"
14,10,0,0,-3.59,14.3,,,"gcoeff[(""Neptune"",""g"",14,10)]=-3.59","gcoeff[(""Neptune"",""g"",14,10)]=14.3"
14,11,0,0,16.4,-16.81,,,"gcoeff[(""Neptune"",""g"",14,11)]=16.4","gcoeff[(""Neptune"",""g"",14,11)]=-16.81"
14,12,0,0,-12.13,6.45,,,"gcoeff[(""Neptune"",""g"",14,12)]=-12.13","gcoeff[(""Neptune"",""g"",14,12)]=6.45"
14,13,0,0,3,2.58,,,"gcoeff[(""Neptune"",""g"",14,13)]=3","gcoeff[(""Neptune"",""g"",14,13)]=2.58"
14,14,0,0,1.18,-1.94,,,"gcoeff[(""Neptune"",""g"",14,14)]=1.18","gcoeff[(""Neptune"",""g"",14,14)]=-1.94"
15,0,0,,-35.13,,,,"gcoeff[(""Neptune"",""g"",15,0)]=-35.13",
15,1,0,0,-6.96,-8.82,,,"gcoeff[(""Neptune"",""g"",15,1)]=-6.96","gcoeff[(""Neptune"",""g"",15,1)]=-8.82"
15,2,0,0,-24.85,17.4,,,"gcoeff[(""Neptune"",""g"",15,2)]=-24.85","gcoeff[(""Neptune"",""g"",15,2)]=17.4"
15,3,0,0,-14.45,-9.9,,,"gcoeff[(""Neptune"",""g"",15,3)]=-14.45","gcoeff[(""Neptune"",""g"",15,3)]=-9.9"
15,4,0,0,-16.04,13.07,,,"gcoeff[(""Neptune"",""g"",15,4)]=-16.04","gcoeff[(""Neptune"",""g"",15,4)]=13.07"
15,5,0,0,21.04,0.18,,,"gcoeff[(""Neptune"",""g"",15,5)]=21.04","gcoeff[(""Neptune"",""g"",15,5)]=0.18"
15,6,0,0,-15.76,-2.32,,,"gcoeff[(""Neptune"",""g"",15,6)]=-15.76","gcoeff[(""Neptune"",""g"",15,6)]=-2.32"
15,7,0,0,15.62,17.85,,,"gcoeff[(""Neptune"",""g"",15,7)]=15.62","gcoeff[(""Neptune"",""g"",15,7)]=17.85"
15,8,0,0,-12.45,-8.41,,,"gcoeff[(""Neptune"",""g"",15,8)]=-12.45","gcoeff[(""Neptune"",""g"",15,8)]=-8.41"
15,9,0,0,12.73,-12.22,,,"gcoeff[(""Neptune"",""g"",15,9)]=12.73","gcoeff[(""Neptune"",""g"",15,9)]=-12.22"
15,10,0,0,-9.72,19.8,,,"gcoeff[(""Neptune"",""g"",15,10)]=-9.72","gcoeff[(""Neptune"",""g"",15,10)]=19.8"
15,11,0,0,14.04,-13.42,,,"gcoeff[(""Neptune"",""g"",15,11)]=14.04","gcoeff[(""Neptune"",""g"",15,11)]=-13.42"
15,12,0,0,-7.39,2.65,,,"gcoeff[(""Neptune"",""g"",15,12)]=-7.39","gcoeff[(""Neptune"",""g"",15,12)]=2.65"
