MASS,R
2.279,1.269
0.53,
0.42,1.4
,0.66525
,0.14399
0.84,1.99
0.188780165,
0.00007,
0.013,
0.012,
0.0131,
5,
,0.26063
,0.18135
,0.19684
,0.2178
,0.14763
,0.1613
,0.15948
,0.22509
,0.25152
,0.23694
,0.12576
,0.20049
0.56,
0.73,
4.34,1.614
0.037,
0.0413,
0.0565,
,0.23694
,0.13032
,0.22874
5.3,
1.8,
3.7,
,
,0.27157
,0.18226
,0.21871
,0.15401
0.8,1.685
0.413,
1.7,
0.96,
0.011,
2.8,
8,
0.98,1.67
0.05316,
0.0754,
1,
1.637,1.171
4.6,
5,
2.09,1.368
0.939,1.325
0.75,1.26
0.22,0.57
,0.28706
,0.11756
,0.18682
,0.14034
4.063,1.024
3.328,1.197
2.55,
3.32,
1.36,
1.018,
